"1","Хлеб Кулиничи Пушкаревский формовой ржано-пшеничный нарезка 600г Украина","6","55"
"2","Хлеб Румянец Луцкий с кунжутом ржано-пшеничный нарезка 700г Украина","8","07"
"3","Хлеб Ворзельский Юниверсал нарезка 300г Украина","7","45"
"4","Хлеб Новус Мультизерновой Украина","24","99"
"5","Хлеб Новус Цельнозерновой 650г Украина","14","99"
"6","Хлеб Новус Домашний на сыворотке 800г","6","99"
"7","Хлеб Новус Карельский половинка 300г","3","99"
"8","Хлеб Новус Вулкан половинка 300г","3","49"
"9","Хлеб Новус Вулкан 600г","6","99"
"10","Хлеб Новус Домашний на сыворотке половинка 400г","3","49"
"11","Хлеб Новус Грэхемской половинка 250г","4","99"
"12","Хлеб Новус Отрубной половинка","3","49"
"13","Хлеб Кулиничи Украинский новый половинка нарезка 475г Украина","3","72"
"14","Хлеб Румянец нарезка 700г Украина","8","00"
"15","Хлеб Румянец Альпийский половинка 360г Украина","4","76"
"16","Хлеб Царь Хлеб Юрьевский заварной половинка нарезка 400г Украина","4","62"
"17","Хлеб Царь Хлеб Щедрый 500г Украина","13","80"
"18","Хлеб Царь Хлеб Здоровье 400г Украина","5","65"
"19","Хліб Цар Хліб Український нарізний в упаковці 0,95кг","6","90"
"20","Хлеб Царь Хлеб Горчичный 500г Украина","7","10"
"21","Хлеб Царь Хлеб Украинский новый нарезка 900г Украина","6","90"
"22","Хлеб Царь Хлеб Семейный 600г Украина","4","89"
"23","Хліб Бокато 600г","9","99"
"24","Хліб Тоскано 1/2 (половинка) 300г","4","99"
"25","Хліб Бокато 1/2 (половинка) 300г","4","99"
"26","Хліб Тоскано 600г","9","99"
"27","Хлеб Царь Хлеб Украинский 900г Украина","6","48"
"28","Слойка з яблуком 135г","5","49"
"29","Слойка з вишнею 80г","3","99"
"30","Слойка з капустою 80г","3","99"
"31","Слойка з ветчиною та сиром 80г","5","99"
"32","Слойка з грибною начинкою 80г","3","99"
"33","Слойка з малиною 80г","3","99"
"34","Слойка Печінкова Добрянські ковбаси к/в в/г кг","85","99"
"35","Плетінка здобна з родзинками 400г","11","99"
"36","Плетінка Київхліб з маком в/г 400г","5","49"
"37","Маковик домашній Цар-хліб уп.400г","10","59"
"38","Пиріжки печені з капустою кг","39","99"
"39","Пиріжки печені з сиром кг","44","99"
"40","Пиріжки печені з м'ясом кг","49","99"
"41","Здоба Варшавська з ягодами 70гр.","3","99"
"42","Пиріжок Караїмський з капустою 130г","3","99"
"43","Пиріжок Караїмський з м'ясом 130г","5","99"
"44","Снек з сосискою 100г","6","99"
"45","Круасан з мигдальним кремом 80г","6","99"
"46","Пончики з джемом в ассортименті 70гр","3","99"
"47","Пампушки з часником 50гр","2","99"
"48","Булочка з заварним кремом 70г","1","29"
"49","Сосиска запечена в тісті 85г","3","99"
"50","Булочка гречана 60г","6","49"
